title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
The Black Demon,2023-04-26,"Horror, Thriller","Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.","Spanish, English",32.0,100.0,415.5,2.5357142857142856,36.0,4.869731585445518,0.8886606016003846,3.0,1027.0,1232.0,-8.142857142857142,54.0
The Wonderful World of Mickey Mouse: Steamboat Silly,2023-07-28,Animation,Mickey Mouse and his friends must stop hundreds of old film reel versions of Mickey from wreaking havoc all over town.,English,,,,,,,,,,,,
Overhaul,2023-09-27,"Action, Thriller, Drama","When truck racer Roger loses everything, he receives a tempting but dangerous offer: to work as the getaway driver for a gang of thieves.",Portuguese,61.0,100.0,1090.0,-0.03571428571428572,77.0,2.718876652118133,1.5650428132803886,3.0,1208.0,1471.5,-6.285714285714285,68.0
Concrete Utopia,2023-08-09,"Thriller, Science Fiction, Drama","The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments.",Korean,100.0,95.0,440.5,7.75,83.0,18.6785676348292,0.31149980882704237,-1.0,1497.5,1406.0,-6.499999999999997,43.0
Elvis the Pig,2023-02-09,"Family, Drama","A young girl learns she may have to sell her beloved pet pig, Elvis, to a local farmer to save the family farm. Unbeknownst to her, the pig is in real danger, the farmer is planning a pig roast and not a forever home. After getting wind of the plan, the whole family bands together to save Elvis, uniting to reclaim their farm and prove that love is worth more than money.",English,,,,,,,,,,,,
The Wrath of Becky,2023-05-26,"Action, Horror, Thriller","Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",English,43.0,84.0,139.5,6.428571428571426,100.0,11.147943487071045,1.7077977651831526,0.0,660.0,660.0,-13.249999999999998,20.0
Breaking Point,2023-10-05,Drama,"Two adopted brothers filled with resentment for each other after the loss of their mother, united in their love of breakdancing, find themselves thrust together as they embark on a journey for the Gold. ​",English,97.0,100.0,1618.0,-1.2499999999999998,71.0,9.035079029052513,0.08753069286989221,10.0,907.5,1768.0,-3.642857142857142,94.0
Sentinelle,2023-08-27,"Action, Comedy, Crime","François Sentinelle has two lives. By day, he is the most famous cop of Réunion Island, known for his tough methods and flowery shirts, pursuing criminals in his famous yellow defender. But the rest of the time, Sentinelle is also a charming singer.","French, German",11.0,100.0,157.5,0.28571428571428564,10.0,1.0647942749998998,2.390575928203347,13.0,374.5,628.5,-12.285714285714283,11.0
Once Upon a Crime,2023-09-13,"Adventure, Fantasy, Comedy","While at the royal ball with Cinderella, Little Red Riding Hood finds herself in the middle of a mystery. Can she solve the case before midnight strikes?",Japanese,3.0,100.0,22.5,0.49999999999999983,3.0,1.124858267715973,2.2201537645341274,3.0,424.5,641.0,-13.10714285714285,26.0
Confidential Informant,2023-06-27,"Mystery, Thriller, Action","During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent.","Russian, Vietnamese, English, Ukrainian, French, Hungarian",6.0,100.0,33.0,-0.21428571428571427,9.0,2.083299319450225,1.7341539714012895,5.0,488.5,742.0,-9.821428571428568,51.0
