title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Asteroid City,2023-06-08,"Comedy, Drama","In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",English,33.0,100.0,209.0,0.21428571428571422,13.0,6.001133679745592,1.3335301865047142,16.0,343.0,960.5,-12.4,33.0
Cassandro,2023-09-14,Drama,"The true story of Saúl Armendáriz, a gay amateur wrestler from El Paso that rises to international stardom after he creates the character Cassandro, the “Liberace of Lucha Libre.” In the process, he upends not just the macho wrestling world but also his own life.","English, Spanish",21.0,100.0,131.0,0.3928571428571428,9.0,4.349264279535405,1.7193695171351981,10.0,406.5,785.0,-10.571428571428573,48.0
Accused,2023-10-05,"Drama, Thriller","After a revenge obsessed society incorrectly selects its next target, a young man must survive the night as the online witch-hunt arrives at his front door.",English,100.0,66.0,1472.0,-2.1071428571428568,72.0,13.605387754993195,0.7771503455650706,-10.0,1999.0,1181.0,-4.3928571428571415,63.0
The Wandering Earth II,2023-01-22,"Science Fiction, Action, Drama","Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.","Russian, French, Mandarin, Japanese, English",24.0,85.0,12.0,2.571428571428571,100.0,5.1110125199995196,2.0675337309332367,0.0,487.0,487.0,-12.285714285714283,27.0
The Devil Conspiracy,2023-01-13,"Horror, Fantasy, Science Fiction, Thriller","A powerful biotech company has breakthrough technology allowing them to clone history’s most influential people with just a few fragments of DNA. Behind this company is a cabal of Satanists that steals the shroud of Christ, putting them in possession of Jesus’ DNA. The clone will serve as the ultimate offering to the devil. The Archangel Michael comes to earth and will stop at nothing to end the devil’s conspiracy.","Italian, English",48.0,100.0,189.0,4.928571428571428,82.0,10.157266759675602,1.323829050624142,1.0,742.5,833.5,-9.964285714285712,47.0
Heist 88,2023-09-29,"Crime, Drama",A criminal mastermind recruits a group of young bank employees to steal 80 million dollars in one of the largest bank heist in US history.,English,8.0,100.0,64.5,0.1785714285714286,51.0,2.888714454876781,1.9971627377158885,1.0,604.5,680.0,-12.464285714285712,30.0
The Secret Kingdom,2023-04-27,"Family, Fantasy, Adventure","Verity and Peter’s trip to the old family mansion takes a turn when the floor of their room suddenly gives way and they fall into an underground chamber where they are met by a civilization of creatures. The leader tells them that Peter's arrival was foretold as he’s the one who can use Great Clock of the Citadel to restart time and destroy the Shroud, a malevolent creature who feeds on fear itself...",English,19.0,100.0,200.0,1.9999999999999996,17.0,6.051180053952409,2.0073575884790777,21.0,0.0,739.5,0.0,10.0
Victoria's Secret: The Tour '23,2023-09-25,Documentary,"Follows 20 outstanding artists as they strive to make the iconic VS platform their own. The entire world is their stage, blending documentary with fashion fantasy.",English,,,,,,,,,,,,
The Last Kingdom: Seven Kings Must Die,2023-04-14,"Action, Adventure, War","In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",English,6.0,100.0,44.0,0.4999999999999999,74.0,1.2688488185213551,2.671858764883829,1.0,403.5,490.5,-12.999999999999996,21.0
Little Bone Lodge,2023-03-11,"Horror, Crime, Thriller","During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own.",English,,,,,,,,,,,,
What the Waters Left Behind: Scars,2023-04-27,Horror,"An Anglo-American indie rock band winds up stranded in Epecuén, where their internal conflicts and the bad luck of their tour quickly lose importance before the hell that awaits them.","Spanish, English",,,,,,,,,,,,
You Are So Not Invited to My Bat Mitzvah,2023-08-18,Comedy,Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. But things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage.,English,10.0,100.0,25.5,-1.1785714285714284,1.0,2.307436464682994,1.319853958164677,9.0,635.0,807.5,-5.3928571428571415,29.0
Island of the Dolls,2023-01-13,Horror,A group of people go to the legendary Island of the Dolls to learn the deadly truth.,English,84.0,100.0,84.0,0.0,0.0,17.88854381999832,2.114052807172037,15.0,302.0,430.0,-1.6428571428571435,0.0
Poison,2023-09-30,Comedy,"When a poisonous snake slithers onto an Englishman's stomach in India, his associate and a doctor race to save him.",English,87.0,100.0,1487.0,-1.0357142857142856,89.0,5.43900417722852,1.2320539904635504,1.0,1548.5,1643.0,-2.428571428571429,84.0
Between Us,2023-07-12,Drama,"Elodie and Laetitia live in close love and dream of having a child. As Elodie discovers that she cannot get pregnant because of a health problem and encounters financial troubles, they decide to take a roommate.",French,100.0,94.0,1798.0,1.3928571428571426,91.0,5.40387028517126,0.1951870161744049,-9.0,2593.0,1805.5,-0.8214285714285711,90.0
The Strange Case of a Claustrophobic Ghost,2023-07-21,"Fantasy, Family, Horror",Follows a teenager who claims that there is an entity in his closet.,Spanish,,,,,,,,,,,,
Trapped in the Cabin,2023-08-13,"Thriller, Horror","Rebecca Collins, a writer seeking inspiration, is sent to a remote cabin by her editor. There, she falls for the charming handyman, but his sudden disappearance and an unsettling sense of being watched cast a shadow on her trip.",English,0.0,100.0,0.0,0.0,25.0,0.0,2.1270079668469175,2.0,421.0,577.5,-8.392857142857139,45.0
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,2023-07-21,"Animation, Action, Adventure, Science Fiction, TV Movie","A nationwide manhunt for Hank Venture leads to untold dangers and unexpected revelations, while The Monarch is literally out for Dr Venture's blood. An imposing evil from the past reemerges to wreak havoc on the Ventures, The Guild, and even the Monarch marriage—it will take friends and foes alike to restore the Ventures' world to order… or end it once and for all.",English,,,,,,,,,,,,
Skinamarink,2023-01-13,"Horror, Mystery","Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",English,29.0,100.0,217.5,2.964285714285714,59.0,4.880894308597624,1.2396410360755732,1.0,886.0,965.5,-8.285714285714286,49.0
Divine Intervention,2023-08-04,Comedy,"Checo and Chuma decide to use their criminal skills to do good and help people. Along the way, they learn that friendship and love are more than just clichés.",Spanish,55.0,100.0,860.0,0.49999999999999983,51.0,7.472398188926869,0.5773177085809648,16.0,410.5,1449.0,-4.5428571428571445,63.0
To Catch a Killer,2023-04-06,"Crime, Thriller, Mystery",Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,English,15.0,100.0,206.5,0.32142857142857145,10.0,2.3279822022057743,2.038878458685041,16.0,345.0,712.0,-9.4,12.0
The Mother,2023-05-04,"Action, Thriller","A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.","English, Ukrainian",28.0,100.0,449.0,-0.28571428571428575,28.0,2.3221305409974495,2.2803093719694147,10.0,495.5,923.5,-6.464285714285711,35.0
Expiration Date,2023-07-06,"Comedy, Romance","María and Javi are two lifelong friends. Even though they have drifted apart over the course of the last year, when María suffers an accident that leaves her at the verge of dying, they reunite and discover that they have always been in love. Now Javi has to decide whether he continues with his new life with an Uruguayan girlfriend, or give a chance to a childhood love that could die out any second.",Spanish,100.0,97.0,1828.5,0.1785714285714286,93.0,3.7361990944634345,-0.5193186324950235,-9.0,2724.0,1899.5,-0.6428571428571426,84.0
LEGO Disney Princess: The Castle Quest,2023-08-18,Animation,"Tiana, Moana, Snow White, Rapunzel, and Ariel are off on an adventure as they are each unexpectedly transported to a mysterious castle. Shortly after arriving, they soon discover that Gaston has hatched an evil plan to take over all their kingdoms! The Princess characters must work together to solve challenges hidden deep within the castle walls and try to save their kingdoms from Gaston. Will bravery, quick-thinking, and teamwork prevail?",English,30.0,100.0,47.0,0.0,64.0,7.184008444055661,2.499145711269332,1.0,321.0,403.0,-12.17857142857143,18.0
Ambush,2023-02-24,"War, Action, Thriller","When a small outpost is ambushed, a US Army squad must take the battle below ground on a high-stakes mission in a new type of warfare the likes of which they have never seen.",English,64.0,100.0,1060.5,0.3571428571428571,67.0,5.899767473030414,0.9969710558427104,8.0,911.5,1496.0,-2.714285714285715,73.0
Under The Light,2023-09-28,"Drama, Action, Crime","The story revolves around Su Jian Ming and Li Hui Lin jointly investigating an undercurrent criminal case involving a huge interest group. In order to investigate the case, Su Jian Ming ignores the persuasion of his powerful father Zheng Gang, and rushes to the ""Hongmen Banquet"", hosted by rich businessman Li Zhi Tian. More and more clues gradually surface. The undercurrent surging behind these clues makes people faintly feel that a big game of chess is being planned.",Mandarin,97.0,100.0,1440.5,-0.5714285714285712,68.0,8.424131195236566,0.7051277076508412,17.0,330.5,1647.5,-0.4000000000000001,93.0
Mummies,2023-01-05,"Animation, Comedy, Family, Adventure, Fantasy","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",Spanish,64.0,100.0,751.0,2.9999999999999996,63.0,6.7303084739256205,1.30976274823798,17.0,335.0,1316.5,-9.5,48.0
Ehrengard: The Art of Seduction,2023-09-14,"Romance, Comedy, Drama","When a self-appointed expert on love tries to teach a timid prince the art of seduction, the plan backfires, leading to scandal — and unexpected romance.",Danish,5.0,100.0,5.0,0.0,68.0,1.0647942749999,1.981379268410868,2.0,454.5,620.5,-11.821428571428566,31.0
Head to Head,2023-08-03,"Comedy, Thriller, Action","Hilarity meets danger when a lovesick chauffeur and a bootleg mechanic mistakenly pick up a retired crime lord, igniting a wild, life-changing adventure.",Arabic,100.0,94.0,1750.5,0.07142857142857144,85.0,4.193180945285965,0.6516619942390784,-18.0,3422.0,1861.5,-1.7499999999999998,88.0
Through My Window: Across the Sea,2023-06-23,"Romance, Drama, Comedy","After a year of long-distance, Raquel and Ares reunite on a steamy beach trip. Faced with fresh flirtations and insecurities, will their love prevail?",Spanish,14.0,86.0,44.5,1.6071428571428563,100.0,3.033449201644378,2.9614083831342297,0.0,419.0,419.0,-14.464285714285708,16.0
Happy Ending,2023-09-01,"Romance, Comedy",A young woman quietly unsatisfied in the bedroom by her boyfriend puts their relationship to the test when she proposes to open up their sex life to a third person.,Dutch,79.0,100.0,1278.0,-1.6428571428571426,79.0,6.056424036413198,1.3682861544333034,2.0,1276.0,1457.5,-3.3928571428571432,71.0
The Dive,2023-08-24,Thriller,"Two sisters go diving at a beautiful, remote location. One of the sisters is struck by a rock, leaving her trapped 28 meters below. With dangerously low levels of oxygen and cold temperatures, it is up to her sister to fight for her life.",English,38.0,100.0,624.5,-0.10714285714285707,31.0,2.2172279479662507,1.996535295414637,2.0,975.0,1096.5,-9.249999999999998,50.0
Murder Mystery 2,2023-03-28,"Comedy, Crime","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",English,15.0,100.0,101.0,1.5714285714285712,10.0,3.6240566838934187,2.517839683143055,4.0,431.5,592.5,-12.749999999999996,28.0
57 Seconds,2023-09-29,"Thriller, Science Fiction","When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.",English,4.0,100.0,34.0,0.35714285714285704,8.0,1.1187942975686411,1.077582421504895,2.0,792.0,886.0,-9.428571428571427,42.0
Knock at the Cabin,2023-02-01,"Thriller, Mystery, Horror","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",English,25.0,100.0,214.5,2.4999999999999996,35.0,6.252437166540896,1.728857563759299,3.0,651.0,853.5,-12.464285714285717,30.0
Big George Foreman,2023-04-27,"Drama, History","Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.",English,26.0,100.0,222.0,2.464285714285714,47.0,6.518419740885619,1.8963267111908935,2.0,621.5,783.0,-12.678571428571429,27.0
The Re-Education of Molly Singer,2023-09-29,Comedy,"In college, attorney Molly Singer was the life of every party. Now, she's about to be fired because she can't leave her partying ways behind. Molly's boss, Brenda, tells Molly there's one way to save her job: re-enroll at her old alma mater, befriend Brenda's socially awkward son, Elliot, and take him from zero to campus hero.",English,0.0,100.0,0.0,0.0,0.0,0.0,2.1343982498227994,1.0,427.0,477.0,-6.107142857142857,47.0
Nimona,2023-06-23,"Animation, Fantasy, Adventure, Comedy, Family","A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",English,9.0,100.0,52.5,-0.10714285714285711,4.0,2.192545606327874,1.1258785039400336,8.0,814.0,949.0,-7.499999999999998,48.0
Nightmare Radio: The Night Stalker,2023-04-18,Horror,"A late-night radio DJ with a program where people call to tell her real horror stories, soon will find out how far an obsessed fan is willing to go.",English,,,,,,,,,,,,
Welcome al Norte,2023-09-14,Comedy,"Polito is the manager of a courier and parcel branch in Yucatán, who seeks to fulfill his dream of receiving a promotion and having a place in Cancun to move in with his wife Teo and son. Pressured by his wife, he will be willing to do anything to get it and he plans a strategy where he will achieve his transfer but a little further north: Tijuana.",,14.0,100.0,67.0,0.6785714285714285,23.0,5.543069869915627,0.4951000654474764,3.0,1068.5,1256.0,-7.96428571428571,51.0
Joy Ride,2023-06-22,Comedy,"When Audrey's business trip to Asia goes sideways, she enlists the aid of Lolo, her irreverent, childhood best friend who also happens to be a hot mess; Kat, her college friend turned Chinese soap star; and Deadeye, Lolo's eccentric cousin. Their no-holds-barred, epic experience becomes a journey of bonding, friendship, belonging, and wild debauchery that reveals the universal truth of what it means to know and love who you are.","English, Mandarin, Korean",20.0,100.0,184.5,0.5,11.0,5.602882316221992,1.8769485606078495,17.0,233.5,791.0,-14.700000000000001,30.0
Run Rabbit Run,2023-01-19,"Horror, Thriller","Sarah is a fertility doctor with a firm understanding of the cycle of life. When she is forced to make sense of the increasingly strange behavior of her young daughter Mia, she must challenge her own beliefs and confront a ghost from her past.",English,63.0,100.0,1078.0,0.6428571428571426,75.0,5.462301226944331,1.1078658095847311,3.0,1184.5,1435.0,-4.857142857142856,68.0
Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023-02-03,"Action, Animation, Fantasy","After his family is viciously murdered, a kind-hearted boy named Tanjiro Kamado resolves to become a Demon Slayer in hopes of turning his younger sister Nezuko back into a human.  Together with his comrades, Zenitsu and Inosuke, along with one of the top-ranking members of the Demon Slayer Corps, Tengen Uzui, Tanjiro embarks on a mission within the Entertainment District, where they encounter the formidable, high-ranking demons, Daki and Gyutaro.",Japanese,,,,,,,,,,,,
Tayuan,2023-06-23,Drama,"Ella, an events project manager, usually takes a private transportation service. However, she is forced to take a bus, where bus conductor Rico becomes aroused when her body gets pressed into him due to the thick crowd.  This encounter deeply affects Ella, and from that night on, she starts pursuing Rico. Even after discovering that Rico is already married with a daughter, Ella doesn’t care at all and she’ll do anything to make him want her just as much.",Tagalog,56.0,100.0,269.0,7.285714285714283,69.0,14.564424086780495,0.5985572892014204,2.0,834.5,983.0,-6.249999999999999,54.0
Renfield,2023-04-07,"Comedy, Horror, Fantasy","Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.","English, Thai",20.0,100.0,269.5,-0.35714285714285704,20.0,4.279890222594537,1.8264707774168665,8.0,542.5,870.5,-10.857142857142854,83.0
Ip Man: The Awakening,2023-05-05,"Action, Adventure, History, Drama","When a young Master Ip stops a kidnapping, he ignites a turf war with a ruthless human-trafficking ring. In retaliation, the gang kidnaps one of Ip Man's close friends, forcing him to face the group's brutal boxing champion head-on.",Mandarin,100.0,0.0,273.0,0.0,0.0,32.06837932264355,3.4494120088694125,-20.0,223.0,0.0,-17.571428571428566,0.0
The Tank,2023-04-21,"Horror, Thriller","In 1978 Oregon, Ben and Jules inherit an abandoned coastal property from Ben's late mother, who's never mentioned it. The untouched house has been kept a secret for 40 years and comes with a beautiful private cove and beach. Jules searches for answers while Ben unwittingly awakens a fiercely protective creature.",English,27.0,100.0,470.0,0.10714285714285703,32.0,1.4998110236212971,4.248274269758728,2.0,538.5,681.5,-7.214285714285713,32.0
Love in Taipei,2023-08-10,"Romance, Comedy, Drama",A young American woman is sent by her parents to a cultural immersion program in Taipei where she begins a new journey of self-discovery and romance.,English,66.0,100.0,449.0,-0.3928571428571426,86.0,17.662109539312816,0.07208007640365097,2.0,1211.0,1397.0,-4.642857142857142,78.0
Fate/strange Fake -Whispers of Dawn-,2023-07-01,"Animation, Action, Fantasy, Drama","In a Holy Grail War, Mages (Masters) and their Heroic Spirits (Servants) fight for the control of the Holy Grail—an omnipotent wish-granting device said to fulfill any desire. Years have passed since the end of the Fifth Holy Grail War in Japan. Now, signs portend the emergence of a new Holy Grail in the western American city of Snowfield. Sure enough, Masters and Servants begin to gather... A missing Servant class... Impossible Servant summonings... A nation shrouded in secrecy... And a city created as a battleground. In the face of such irregularities, the Holy Grail War is twisted and driven into the depth of madness. Let the curtain rise on a masquerade of humans and heroes, made to dance upon the stage of a false Holy Grail.",Japanese,,,,,,,,,,,,
Jules,2023-08-10,"Science Fiction, Comedy, Drama","A flying saucer lands in the backyard of an elderly suburbanite with memory problems, who forms a bond with the scared alien inside.",English,95.0,100.0,1594.0,-3.4999999999999987,78.0,6.418863922763662,1.0173379659515398,2.0,1502.0,1684.0,-4.142857142857141,75.0
The Rope Curse 3,2023-08-25,Horror,,Mandarin,0.0,100.0,0.0,0.0,0.0,0.0,6.326437348445771,14.0,50.0,100.0,-10.714285714285714,0.0
Flora and Son,2023-09-21,"Music, Comedy, Drama","Single mum Flora is at a loss about what to do with her rebellious teenage son, Max. Her efforts to keep him out of trouble lead to a beat-up acoustic guitar, a washed-up LA musician, and harmony for this frayed Dublin family.",English,7.0,100.0,70.5,0.24999999999999994,8.0,2.1071092276035794,2.4026175686673743,9.0,396.5,607.5,-12.464285714285712,17.0
Metalocalypse: Army of the Doomstar,2023-08-22,"Animation, Comedy, Music","After the heroic rescue of Toki Wartooth, DETHKLOK frontman Nathan Explosion finds himself traumatized in a BRUTAL professional and romantic flat-spin all while he is tasked with fulfilling the prophecy and confronting the ultimate songwriting challenge: write the SONG OF SALVATION and save the planet. Can Nathan Explosion look beyond his brutally damaged ego to save his band, stop the Metalocalypse, and finally face the ultimate evil: Salacia?",English,29.0,91.0,93.5,3.2142857142857126,100.0,8.945792915351536,1.7645417743199159,0.0,608.0,608.0,-8.107142857142854,32.0
¡Vaya vacaciones!,2023-04-21,Comedy,,Spanish,100.0,0.0,100.0,0.0,0.0,21.295885499998,6.326437348445775,-8.0,50.0,0.0,-10.714285714285714,0.0
Snoopy Presents: One-of-a-Kind Marcie,2023-08-17,"Animation, Family","Quiet, kindhearted introvert Marcie has lots of brilliant ideas to help her friends achieve goals and solve problems. But when the world takes notice and the spotlight lands on her, sharing those ideas becomes a challenge.",English,0.0,100.0,0.0,0.0,0.0,0.0,6.326437348445772,1.0,50.0,100.0,-10.714285714285714,0.0
To End All War: Oppenheimer & the Atomic Bomb,2023-07-09,"Documentary, History","Explore how one man's relentless drive and invention of the atomic bomb changed the nature of war forever, led to the deaths of hundreds of thousands of people and unleashed mass hysteria.",English,0.0,100.0,0.0,0.0,0.0,0.0,2.6172593724207665,7.0,330.0,380.0,-6.39285714285714,100.0
One Day as a Lion,2023-04-04,"Action, Thriller, Crime","Jackie Powers will stop at nothing to prevent his son from following him into a life of crime. With his mob employer in pursuit, a chance encounter at a roadside diner charts a new path.",English,11.0,100.0,68.0,1.214285714285714,9.0,4.06578556307363,1.9684288975272028,10.0,540.5,778.0,-13.57142857142857,18.0
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023-10-21,"Animation, Adventure, Action","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",French,0.0,0.0,0.0,0.0,100.0,0.0,6.326437348445772,0.0,50.0,50.0,-10.714285714285714,0.0
The Marvels,2023-11-08,"Action, Adventure, Science Fiction","Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",English,28.0,100.0,148.0,2.4642857142857135,56.0,5.473912569712972,1.81523469354234,2.0,632.5,780.5,-14.14285714285714,33.0
Zoey 102,2023-07-27,"Romance, Comedy",Pacific Coast Academy alumni return to Malibu for an over-the-top wedding that turns into a high school reunion for the books.,English,14.0,100.0,145.0,1.1071428571428568,71.0,2.5161609168805534,1.7973374867041951,1.0,686.5,772.0,-11.749999999999996,30.0
Perfect Addiction,2023-02-16,"Drama, Romance",A female boxing trainer discovers that her champion cage-fighter boyfriend has been cheating on her with her sister and decides to seek revenge by training up his arch-rival to challenge him.,English,49.0,100.0,454.0,4.892857142857142,80.0,11.603033460588156,0.8876323311690063,2.0,982.5,1157.5,-7.857142857142857,47.0
Father & Soldier,2023-01-04,"Drama, History, War","1917. Bakary Diallo enlists in the French army to join his 17-year-old son, Thierno, who has been forcibly recruited. Sent to the front, they will have to face the war together. While Thierno learns to become a man, Bakary will do everything to bring him back safely.","French, Fulah",,,,,,,,,,,,
Aged,2023-06-15,Horror,"After taking a temporary job as a caregiver, a young woman realizes her employer and the house have a dangerous, dark past.",English,99.0,100.0,1722.0,1.5357142857142856,89.0,5.507364683733699,0.45293232287913976,18.0,268.5,1827.0,-4.0,85.0
Ride On,2023-04-07,"Action, Comedy, Adventure, Drama",A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.,Mandarin,86.0,100.0,1348.5,-0.8214285714285714,77.0,6.5048385967730225,0.610572302437422,16.0,418.5,1726.0,-4.685714285714285,78.0
Flamin' Hot,2023-03-11,"Comedy, Drama","The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.","English, Spanish",100.0,95.0,475.0,-10.928571428571429,0.0,35.973535246000466,0.7922860278016847,-21.0,1051.0,576.0,-13.357142857142852,0.0
Rise of the Footsoldier: Vengeance,2023-09-15,"Action, Crime, Drama","Pat Tate embarks on a rampage to avenge his loyal and trusted footsoldier's violent death, venturing beyond his comfort zone of Essex into the dark side of 90s Soho to track down the villain responsible. Set to execute his revenge, Tate will stop at nothing even as the world around him starts to explode.",English,69.0,93.0,193.5,8.178571428571427,100.0,17.48779943994386,0.9385035746681049,0.0,935.5,935.5,-11.571428571428568,52.0
JUNG_E,2023-01-12,Science Fiction,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",Korean,4.0,100.0,30.0,-0.3928571428571428,1.0,0.9060141709733548,2.4050239016545722,10.0,305.5,527.0,-10.964285714285715,4.0
The Best Man,2023-04-21,"Action, Thriller","Mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.",English,95.0,100.0,1627.0,2.178571428571428,88.0,5.4523289662732735,0.7706670503461172,1.0,1712.5,1806.5,-2.892857142857143,82.0
Cats in the Museum,2023-03-23,"Animation, Comedy",A cartoon about the famous four-legged inhabitants of the St. Petersburg Winter Palace - museum cats that protect the territory of the State Hermitage from rats and mice.,Russian,,,,,,,,,,,,
Deep Sea,2023-01-22,"Animation, Adventure, Fantasy, Science Fiction","Shenxiu has felt a deep sadness since her mother left. A storm plunges her into a dreamlike, 3D world of swirling colour. Led by the Hyjinx, and joined by inventive underwater chef Nanhe, she embarks on a quest to find solace in the Eye of the Deep Sea.",Mandarin,92.0,100.0,1617.5,0.9642857142857141,89.0,4.265029447785348,0.3460634942997213,6.0,1313.5,1848.0,-0.4285714285714281,87.0
Quicksand,2023-08-31,"Thriller, Horror",A married couple on the brink of divorce becomes trapped in quicksand while hiking through a Colombian rainforest. It’s a struggle for survival as they battle the elements of the jungle and must work together in order to escape.,"Portuguese, English",100.0,68.0,1413.0,-0.6785714285714285,58.0,10.528441126888552,1.1964669840971343,-18.0,2475.0,1229.0,-1.4285714285714277,61.0
The Blackening,2023-06-15,"Horror, Comedy","Seven black friends go away for the weekend, only to find themselves trapped in a cabin with a killer who has a vendetta. They must pit their street smarts and knowledge of horror movies against the murderer to stay alive.",English,36.0,100.0,235.5,3.3928571428571423,52.0,7.563188088296952,1.126731297900726,2.0,853.0,1016.0,-9.928571428571427,38.0
Operation Fortune: Ruse de Guerre,2023-01-04,"Action, Thriller, Comedy",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,English,33.0,100.0,252.5,3.2857142857142856,52.0,8.707647745040028,0.3231676834529793,3.0,1151.5,1378.5,-4.357142857142856,57.0
Bird Box Barcelona,2023-07-14,"Thriller, Drama, Science Fiction, Horror","After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.","English, German, Spanish",5.0,100.0,40.0,0.3928571428571428,58.0,1.0454523047666737,2.3023085401012384,1.0,486.0,565.0,-13.142857142857142,26.0
Campeonex,2023-08-18,"Comedy, Drama",,Spanish,33.0,93.0,176.5,3.821428571428571,100.0,7.8222892184308845,0.682124051195911,0.0,1185.0,1185.0,-6.178571428571425,42.0
The Blind,2023-09-28,Drama,"In the 1960s Deep South, Phil Robertson seeks to conquer the shame of his past, addiction, and complicated family dynamics, ultimately finding redemption in an unlikely place.",English,53.0,100.0,792.5,1.7857142857142856,61.0,7.420325093268888,1.0121954219409628,3.0,1064.0,1323.5,-4.5,58.0
Golda,2023-03-30,"History, Drama, Thriller","Set during the tense 19 days of the Yom Kippur War in 1973, Israeli Prime Minister Golda Meir is faced with the potential of Israel’s complete destruction. She must navigate overwhelming odds, a skeptical cabinet and a complex relationship with US Secretary of State Henry Kissinger, with millions of lives in the balance. Her tough leadership and compassion would ultimately decide the fate of her nation and leave her with a controversial legacy around the world.","English, Hebrew",100.0,86.0,1065.5,-0.9999999999999997,52.0,11.457107231864812,2.906131343236376,-18.0,2014.0,1080.0,-5.964285714285712,49.0
Beautiful Disaster,2023-04-04,"Romance, Drama, Comedy","Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match.",English,24.0,100.0,270.0,1.5714285714285712,29.0,5.131380492580646,1.0240433005541247,9.0,629.5,1059.0,-9.250000000000002,46.0
AKA,2023-04-28,"Thriller, Action, Crime",A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,French,35.0,100.0,618.0,-0.21428571428571422,64.0,1.5088551921671292,1.7793985480523549,2.0,954.5,1123.5,-7.071428571428568,54.0
